训练开始时间: 2025-05-31 23:19:59
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	9.2730	1.3802	0.5097	0.3411
2	5.4520	1.4421	0.5410	0.3437
3	5.3820	2.0275	0.6282	0.4263
4	4.5938	0.7953	0.6754	0.4681
5	3.9867	2.0503	0.6695	0.4631
6	3.8377	0.6252	0.7413	0.5583
7	3.4485	1.1689	0.7299	0.5612
8	3.4285	1.3358	0.7718	0.5658
9	3.6805	1.8982	0.7385	0.5820
10	2.9686	1.1719	0.7985	0.6227
11	3.2613	1.9113	0.8064	0.6195
12	2.8260	1.9900	0.8117	0.6338
13	2.9994	1.5783	0.8288	0.6665
14	2.6726	1.4100	0.8122	0.6412
15	2.5789	1.5408	0.8355	0.6752
16	2.5475	1.5870	0.8345	0.6764
17	2.2837	0.7812	0.8349	0.6925
18	2.4510	1.3714	0.8368	0.6884
19	2.2319	1.2379	0.8521	0.7103
20	2.0099	1.4995	0.8488	0.7150
21	1.9434	1.0230	0.8354	0.7209
22	1.8830	0.8009	0.8439	0.7426
23	1.9126	1.2861	0.8436	0.7085
24	1.8187	0.8632	0.8440	0.7187
25	1.5348	0.6368	0.8620	0.7558
26	1.7087	0.7583	0.8665	0.7745
27	1.4977	0.5705	0.8736	0.7757
28	1.4940	0.6248	0.8684	0.7611
29	1.4257	0.9312	0.8661	0.7828
30	1.3452	0.7598	0.8696	0.7726
31	1.3529	0.7610	0.8594	0.7276
32	1.5212	0.9323	0.8699	0.7741
33	1.3039	0.8389	0.8789	0.7978
34	1.4764	0.6648	0.8802	0.7881
35	1.5770	0.8795	0.8831	0.7945
36	1.3799	1.0221	0.8646	0.7701
37	1.4226	1.0013	0.8676	0.7852
38	1.4210	0.9927	0.8722	0.7713
39	1.3567	0.8409	0.8657	0.7619
40	1.1873	1.0492	0.8699	0.7812
41	1.1938	1.0923	0.8691	0.7580
42	0.9588	0.9277	0.8786	0.7891
43	0.9378	0.9894	0.8830	0.7891
44	0.9955	1.0044	0.8820	0.7808
45	1.0822	0.9079	0.8858	0.7957
46	0.9576	0.9775	0.8891	0.8102
47	1.1069	0.6999	0.8873	0.8029
48	1.1114	0.8745	0.8897	0.7959
49	1.1366	0.9471	0.8873	0.7985
50	1.0513	0.9963	0.8918	0.8123
51	1.1140	1.0684	0.8842	0.7909
52	1.1704	1.0247	0.8883	0.8010
53	1.0700	0.7737	0.8916	0.8123
54	1.0182	0.8738	0.8895	0.8027
55	1.0885	0.7924	0.8895	0.7994
56	0.9148	0.7498	0.8955	0.8127
57	0.9798	1.0272	0.8836	0.7887
58	0.8738	0.9032	0.8915	0.8128
59	1.0644	1.1366	0.8837	0.7816
60	1.0024	0.9294	0.8868	0.7967
61	0.8078	0.8167	0.8851	0.7877
62	0.8453	0.8354	0.8896	0.7925
63	0.7978	1.2295	0.8773	0.7866
64	0.9550	1.1413	0.8768	0.7831
65	0.7967	0.9762	0.8847	0.7855
66	0.8011	1.2175	0.8778	0.7727
67	0.7050	1.1011	0.8874	0.7940
68	0.7186	0.9571	0.8876	0.7954
69	0.7524	1.1601	0.8846	0.7914
70	0.6883	1.0465	0.8917	0.7946
