epoch,train_loss,val_loss,val_auroc,val_auprc
1,9.968174,2.162375,0.560473,0.386600
2,6.390902,1.558799,0.614783,0.441200
3,5.153294,0.704023,0.574327,0.395700
4,4.426696,1.330589,0.658294,0.461300
5,4.118426,1.215370,0.682864,0.486400
6,3.182012,0.883784,0.709612,0.562100
7,3.014566,1.330640,0.750940,0.557200
8,3.248710,0.868075,0.750658,0.586200
9,2.984237,1.477931,0.781659,0.612100
10,3.073674,1.078278,0.796416,0.653000
11,2.731104,0.970245,0.758816,0.640500
12,3.209391,1.552915,0.819714,0.644100
13,2.932700,0.888262,0.796435,0.677500
14,3.195386,1.009786,0.829364,0.687600
15,3.034121,1.457397,0.828658,0.672400
16,2.621232,1.877589,0.820593,0.655000
17,2.822739,1.119606,0.832953,0.699900
18,3.009344,1.522334,0.826875,0.685000
19,2.500013,1.538042,0.819889,0.656100
20,2.461396,2.307232,0.827168,0.656700
21,2.611364,1.482148,0.852517,0.698600
22,2.653050,1.838871,0.845419,0.711400
23,2.375560,1.411911,0.863341,0.705600
24,2.316954,1.170033,0.858612,0.710300
25,2.368114,1.283825,0.861126,0.712900
26,2.208588,1.830548,0.855168,0.712800
27,2.007759,1.452315,0.867232,0.723600
28,2.005669,1.813117,0.850207,0.719200
29,2.406665,1.500195,0.875177,0.733100
30,2.141069,1.594055,0.861957,0.720300
31,2.312045,2.113954,0.853933,0.697800
32,2.231513,1.378621,0.885453,0.764800
33,1.870608,1.526888,0.871270,0.718800
34,2.212867,1.411757,0.876998,0.744800
35,1.913956,1.648747,0.856319,0.709200
36,2.225356,1.400265,0.895744,0.772000
37,2.143641,1.289406,0.878456,0.745000
38,1.624245,1.179277,0.884130,0.769800
39,1.634935,1.373960,0.882648,0.764200
40,1.556505,0.998108,0.874212,0.808500
41,1.351784,1.155131,0.887171,0.774400
42,1.907493,1.318500,0.879162,0.774300
43,1.382368,1.301654,0.882812,0.764700
44,1.464434,1.222872,0.895063,0.789300
45,1.133744,1.010416,0.892663,0.814300
46,1.355299,1.406539,0.894322,0.785400
47,1.319429,0.828386,0.901997,0.819200
48,1.062399,0.986991,0.903881,0.819800
49,1.125804,1.031114,0.902035,0.824800
50,1.036472,1.552258,0.890838,0.778000
51,1.125976,1.111142,0.905700,0.816600
52,1.034574,1.289534,0.903738,0.801300
53,1.193917,1.325198,0.902225,0.801400
54,0.948244,1.367909,0.900912,0.793000
55,1.319802,1.258896,0.908535,0.805700
56,1.110991,1.379555,0.895202,0.788200
57,0.991017,1.207236,0.903190,0.807100
58,1.165350,1.313048,0.901097,0.797800
59,1.037850,0.933654,0.898229,0.820300
60,0.809585,0.938831,0.900265,0.828700
61,0.847453,1.260411,0.903291,0.815600
62,0.915974,1.355643,0.911021,0.815100
63,0.858518,0.946241,0.905866,0.835900
64,0.833566,1.289968,0.909611,0.812700
65,0.862375,1.268334,0.906840,0.815700
66,0.869818,1.021125,0.907236,0.829300
67,0.858229,1.433380,0.901082,0.806100
68,1.072665,1.313633,0.909864,0.820200
69,0.801066,1.058718,0.911367,0.841300
70,0.727035,1.143138,0.912758,0.844300
71,0.746072,1.027111,0.908996,0.836400
72,0.686917,0.992279,0.910718,0.837700
73,0.716788,1.005851,0.917692,0.853900
74,0.727128,1.036029,0.912267,0.836600
75,0.716653,1.363341,0.908535,0.821300
76,0.788898,1.216591,0.908381,0.826600
77,0.732109,1.127059,0.906261,0.836500
78,0.920707,1.320912,0.906549,0.815700
79,0.828765,1.059728,0.911397,0.837000
80,0.775989,1.118718,0.910954,0.840400
81,0.689285,1.105539,0.911131,0.842500
82,0.735062,1.199784,0.916986,0.843500
83,0.760787,1.242745,0.908164,0.839500
84,0.763508,1.160837,0.910334,0.841700
85,0.721071,1.198941,0.908400,0.840600
86,0.691929,1.184555,0.907382,0.840800
87,0.721856,1.177619,0.911114,0.843500
88,0.773747,1.095782,0.909243,0.840700
