+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   9.9682   |
| epoch 2  |   6.3909   |
| epoch 3  |   5.1533   |
| epoch 4  |   4.4267   |
| epoch 5  |   4.1184   |
| epoch 6  |   3.1820   |
| epoch 7  |   3.0146   |
| epoch 8  |   3.2487   |
| epoch 9  |   2.9842   |
| epoch 10 |   3.0737   |
| epoch 11 |   2.7311   |
| epoch 12 |   3.2094   |
| epoch 13 |   2.9327   |
| epoch 14 |   3.1954   |
| epoch 15 |   3.0341   |
| epoch 16 |   2.6212   |
| epoch 17 |   2.8227   |
| epoch 18 |   3.0093   |
| epoch 19 |   2.5000   |
| epoch 20 |   2.4614   |
| epoch 21 |   2.6114   |
| epoch 22 |   2.6530   |
| epoch 23 |   2.3756   |
| epoch 24 |   2.3170   |
| epoch 25 |   2.3681   |
| epoch 26 |   2.2086   |
| epoch 27 |   2.0078   |
| epoch 28 |   2.0057   |
| epoch 29 |   2.4067   |
| epoch 30 |   2.1411   |
| epoch 31 |   2.3120   |
| epoch 32 |   2.2315   |
| epoch 33 |   1.8706   |
| epoch 34 |   2.2129   |
| epoch 35 |   1.9140   |
| epoch 36 |   2.2254   |
| epoch 37 |   2.1436   |
| epoch 38 |   1.6242   |
| epoch 39 |   1.6349   |
| epoch 40 |   1.5565   |
| epoch 41 |   1.3518   |
| epoch 42 |   1.9075   |
| epoch 43 |   1.3824   |
| epoch 44 |   1.4644   |
| epoch 45 |   1.1337   |
| epoch 46 |   1.3553   |
| epoch 47 |   1.3194   |
| epoch 48 |   1.0624   |
| epoch 49 |   1.1258   |
| epoch 50 |   1.0365   |
| epoch 51 |   1.1260   |
| epoch 52 |   1.0346   |
| epoch 53 |   1.1939   |
| epoch 54 |   0.9482   |
| epoch 55 |   1.3198   |
| epoch 56 |   1.1110   |
| epoch 57 |   0.9910   |
| epoch 58 |   1.1654   |
| epoch 59 |   1.0379   |
| epoch 60 |   0.8096   |
| epoch 61 |   0.8475   |
| epoch 62 |   0.9160   |
| epoch 63 |   0.8585   |
| epoch 64 |   0.8336   |
| epoch 65 |   0.8624   |
| epoch 66 |   0.8698   |
| epoch 67 |   0.8582   |
| epoch 68 |   1.0727   |
| epoch 69 |   0.8011   |
| epoch 70 |   0.7270   |
| epoch 71 |   0.7461   |
| epoch 72 |   0.6869   |
| epoch 73 |   0.7168   |
| epoch 74 |   0.7271   |
| epoch 75 |   0.7167   |
| epoch 76 |   0.7889   |
| epoch 77 |   0.7321   |
| epoch 78 |   0.9207   |
| epoch 79 |   0.8288   |
| epoch 80 |   0.7760   |
| epoch 81 |   0.6893   |
| epoch 82 |   0.7351   |
| epoch 83 |   0.7608   |
| epoch 84 |   0.7635   |
| epoch 85 |   0.7211   |
| epoch 86 |   0.6919   |
| epoch 87 |   0.7219   |
| epoch 88 |   0.7737   |
+----------+------------+
