epoch,train_loss,val_loss,val_auroc,val_auprc
1,10.229904,1.997961,0.579057,0.406200
2,7.055193,1.997827,0.607415,0.438100
3,5.340781,0.736302,0.610888,0.422100
4,4.481593,1.044704,0.628439,0.419600
5,4.421133,1.189209,0.648052,0.462100
6,3.767388,1.107701,0.669083,0.489600
7,3.371998,0.731841,0.767583,0.605300
8,3.159531,1.603737,0.777056,0.598200
9,3.166343,1.362757,0.767722,0.590300
10,3.231595,1.554791,0.767777,0.605600
11,3.254195,1.034294,0.800154,0.642100
12,3.193511,1.607876,0.810333,0.647500
13,2.844010,1.291940,0.819373,0.661300
14,2.797556,1.897913,0.812293,0.638400
15,2.720103,1.243697,0.822795,0.676100
16,2.686016,0.874394,0.851683,0.710800
17,2.742116,1.855480,0.818730,0.642100
18,2.618323,1.599390,0.819855,0.644200
19,2.379250,1.217448,0.836684,0.677800
20,2.473108,1.255421,0.852547,0.689400
21,2.488443,1.631021,0.862724,0.698200
22,2.326013,1.219456,0.850880,0.722300
23,2.458280,1.297634,0.854155,0.696600
24,2.377209,1.036611,0.875131,0.730000
25,2.357879,1.687332,0.851592,0.707500
26,2.422321,1.574490,0.867392,0.717500
27,2.177610,1.070667,0.885742,0.760400
28,2.285598,1.007353,0.888007,0.766300
29,2.451471,1.552345,0.877440,0.728000
30,2.395888,1.736874,0.872501,0.710900
31,2.224299,1.641509,0.882823,0.729800
32,2.365908,1.252035,0.887744,0.767300
33,2.034864,1.059691,0.885202,0.756100
34,1.997258,1.237409,0.886943,0.757300
35,1.748987,1.095697,0.893415,0.775100
36,2.142493,1.214609,0.880593,0.752700
37,1.898946,1.097697,0.893044,0.768900
38,2.132692,1.962142,0.885833,0.717600
39,2.284568,2.316789,0.879683,0.711800
40,1.986060,1.261730,0.886907,0.756400
41,1.859255,1.133048,0.887554,0.766000
42,2.000839,1.143545,0.897323,0.787400
43,1.794345,1.153898,0.892785,0.773400
44,1.822292,1.348730,0.886448,0.753800
45,1.505211,1.083806,0.898459,0.791800
46,1.589734,1.462039,0.887078,0.743800
47,1.525621,1.108692,0.897651,0.771700
48,1.481847,1.245605,0.887285,0.765700
49,1.511827,1.401355,0.880423,0.753400
50,1.278289,1.980645,0.863040,0.718900
51,1.646469,1.276852,0.887801,0.770500
52,1.450926,1.214383,0.901525,0.783300
53,1.459501,1.235080,0.898534,0.785200
54,1.266290,1.396702,0.885868,0.758400
55,1.295055,1.165264,0.907061,0.791400
56,1.487352,1.570699,0.891628,0.756200
57,1.220379,1.196215,0.897725,0.785700
58,1.297281,1.294947,0.901660,0.772600
59,1.207488,1.262353,0.888083,0.760000
60,1.296585,1.266290,0.891268,0.758400
61,1.163996,1.354417,0.882149,0.758300
62,1.282701,1.215528,0.895881,0.777100
63,1.157301,1.257154,0.900153,0.790500
64,1.155510,1.253949,0.898471,0.780500
65,1.004382,1.304123,0.901767,0.794500
66,1.075251,1.317896,0.902943,0.787100
67,1.047193,1.206913,0.891335,0.793300
68,1.033732,1.374784,0.895078,0.786800
69,0.980243,1.033708,0.899342,0.808600
70,0.937989,1.189288,0.905953,0.803300
71,0.809810,1.185601,0.892779,0.789400
72,0.812174,1.192601,0.885200,0.772800
73,0.722962,1.113713,0.886907,0.784500
74,0.817991,0.867228,0.902355,0.819300
