训练开始时间: 2025-05-30 00:25:49
模型: DrugBAN3D
总训练轮数: 120

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	10.2299	1.9980	0.5791	0.4062
2	7.0552	1.9978	0.6074	0.4381
3	5.3408	0.7363	0.6109	0.4221
4	4.4816	1.0447	0.6284	0.4196
5	4.4211	1.1892	0.6481	0.4621
6	3.7674	1.1077	0.6691	0.4896
7	3.3720	0.7318	0.7676	0.6053
8	3.1595	1.6037	0.7771	0.5982
9	3.1663	1.3628	0.7677	0.5903
10	3.2316	1.5548	0.7678	0.6056
11	3.2542	1.0343	0.8002	0.6421
12	3.1935	1.6079	0.8103	0.6475
13	2.8440	1.2919	0.8194	0.6613
14	2.7976	1.8979	0.8123	0.6384
15	2.7201	1.2437	0.8228	0.6761
16	2.6860	0.8744	0.8517	0.7108
17	2.7421	1.8555	0.8187	0.6421
18	2.6183	1.5994	0.8199	0.6442
19	2.3793	1.2174	0.8367	0.6778
20	2.4731	1.2554	0.8525	0.6894
21	2.4884	1.6310	0.8627	0.6982
22	2.3260	1.2195	0.8509	0.7223
23	2.4583	1.2976	0.8542	0.6966
24	2.3772	1.0366	0.8751	0.7300
25	2.3579	1.6873	0.8516	0.7075
26	2.4223	1.5745	0.8674	0.7175
27	2.1776	1.0707	0.8857	0.7604
28	2.2856	1.0074	0.8880	0.7663
29	2.4515	1.5523	0.8774	0.7280
30	2.3959	1.7369	0.8725	0.7109
31	2.2243	1.6415	0.8828	0.7298
32	2.3659	1.2520	0.8877	0.7673
33	2.0349	1.0597	0.8852	0.7561
34	1.9973	1.2374	0.8869	0.7573
35	1.7490	1.0957	0.8934	0.7751
36	2.1425	1.2146	0.8806	0.7527
37	1.8989	1.0977	0.8930	0.7689
38	2.1327	1.9621	0.8858	0.7176
39	2.2846	2.3168	0.8797	0.7118
40	1.9861	1.2617	0.8869	0.7564
41	1.8593	1.1330	0.8876	0.7660
42	2.0008	1.1435	0.8973	0.7874
43	1.7943	1.1539	0.8928	0.7734
44	1.8223	1.3487	0.8864	0.7538
45	1.5052	1.0838	0.8985	0.7918
46	1.5897	1.4620	0.8871	0.7438
47	1.5256	1.1087	0.8977	0.7717
48	1.4818	1.2456	0.8873	0.7657
49	1.5118	1.4014	0.8804	0.7534
50	1.2783	1.9806	0.8630	0.7189
51	1.6465	1.2769	0.8878	0.7705
52	1.4509	1.2144	0.9015	0.7833
53	1.4595	1.2351	0.8985	0.7852
54	1.2663	1.3967	0.8859	0.7584
55	1.2951	1.1653	0.9071	0.7914
56	1.4874	1.5707	0.8916	0.7562
57	1.2204	1.1962	0.8977	0.7857
58	1.2973	1.2949	0.9017	0.7726
59	1.2075	1.2624	0.8881	0.7600
60	1.2966	1.2663	0.8913	0.7584
61	1.1640	1.3544	0.8821	0.7583
62	1.2827	1.2155	0.8959	0.7771
63	1.1573	1.2572	0.9002	0.7905
64	1.1555	1.2539	0.8985	0.7805
65	1.0044	1.3041	0.9018	0.7945
66	1.0753	1.3179	0.9029	0.7871
67	1.0472	1.2069	0.8913	0.7933
68	1.0337	1.3748	0.8951	0.7868
69	0.9802	1.0337	0.8993	0.8086
70	0.9380	1.1893	0.9060	0.8033
71	0.8098	1.1856	0.8928	0.7894
72	0.8122	1.1926	0.8852	0.7728
73	0.7230	1.1137	0.8869	0.7845
74	0.8180	0.8672	0.9024	0.8193
