+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   9.7976   |
| epoch 2  |   6.0600   |
| epoch 3  |   4.9806   |
| epoch 4  |   4.2932   |
| epoch 5  |   3.7422   |
| epoch 6  |   3.8113   |
| epoch 7  |   3.3013   |
| epoch 8  |   3.0598   |
| epoch 9  |   2.8186   |
| epoch 10 |   3.0831   |
| epoch 11 |   2.7050   |
| epoch 12 |   2.8750   |
| epoch 13 |   3.6173   |
| epoch 14 |   2.6477   |
| epoch 15 |   2.3034   |
| epoch 16 |   2.3997   |
| epoch 17 |   2.5752   |
| epoch 18 |   2.5528   |
| epoch 19 |   2.1569   |
| epoch 20 |   2.2485   |
| epoch 21 |   2.2127   |
| epoch 22 |   2.4822   |
| epoch 23 |   2.1983   |
| epoch 24 |   2.3208   |
| epoch 25 |   2.1108   |
| epoch 26 |   1.8372   |
| epoch 27 |   2.1024   |
| epoch 28 |   1.7261   |
| epoch 29 |   1.6731   |
| epoch 30 |   1.2693   |
| epoch 31 |   1.4001   |
| epoch 32 |   1.4687   |
| epoch 33 |   1.4147   |
| epoch 34 |   1.3023   |
| epoch 35 |   1.0606   |
| epoch 36 |   1.1486   |
| epoch 37 |   1.1797   |
| epoch 38 |   1.1014   |
| epoch 39 |   1.1565   |
| epoch 40 |   1.0720   |
| epoch 41 |   1.1135   |
| epoch 42 |   1.0360   |
| epoch 43 |   1.1477   |
| epoch 44 |   1.1481   |
| epoch 45 |   1.0807   |
| epoch 46 |   1.1242   |
| epoch 47 |   1.0531   |
| epoch 48 |   1.1158   |
| epoch 49 |   1.0073   |
| epoch 50 |   0.9130   |
| epoch 51 |   1.0343   |
| epoch 52 |   1.0527   |
| epoch 53 |   1.0030   |
| epoch 54 |   0.9269   |
| epoch 55 |   0.8310   |
| epoch 56 |   0.9630   |
| epoch 57 |   0.9572   |
| epoch 58 |   0.8435   |
| epoch 59 |   0.8727   |
| epoch 60 |   0.8339   |
| epoch 61 |   0.8457   |
| epoch 62 |   0.9333   |
| epoch 63 |   0.8613   |
| epoch 64 |   0.9619   |
| epoch 65 |   0.7779   |
| epoch 66 |   0.7099   |
| epoch 67 |   0.8123   |
| epoch 68 |   0.7937   |
| epoch 69 |   0.8125   |
| epoch 70 |   0.7134   |
| epoch 71 |   0.7996   |
| epoch 72 |   0.7427   |
| epoch 73 |   0.8192   |
| epoch 74 |   0.7589   |
| epoch 75 |   0.8389   |
| epoch 76 |   0.8526   |
| epoch 77 |   0.6924   |
| epoch 78 |   0.8406   |
| epoch 79 |   0.6852   |
| epoch 80 |   0.7794   |
| epoch 81 |   0.8308   |
| epoch 82 |   0.8648   |
| epoch 83 |   0.7676   |
| epoch 84 |   0.7973   |
| epoch 85 |   0.7610   |
| epoch 86 |   0.7739   |
| epoch 87 |   0.7478   |
| epoch 88 |   0.8359   |
| epoch 89 |   0.7631   |
| epoch 90 |   0.7144   |
| epoch 91 |   0.6544   |
| epoch 92 |   0.7044   |
+----------+------------+
