训练开始时间: 2025-05-31 13:04:34
模型: DrugBAN3D
总训练轮数: 120

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	9.7976	3.3378	0.5471	0.3890
2	6.0600	2.7332	0.5959	0.4279
3	4.9806	1.2494	0.5975	0.4024
4	4.2932	1.1689	0.6331	0.4276
5	3.7422	1.1436	0.6605	0.4655
6	3.8113	2.3846	0.6594	0.4588
7	3.3013	1.1091	0.7551	0.5869
8	3.0598	0.7437	0.7436	0.6256
9	2.8186	1.1232	0.7991	0.6486
10	3.0831	1.4303	0.8016	0.6451
11	2.7050	1.1043	0.7835	0.6738
12	2.8750	1.0051	0.8000	0.6435
13	3.6173	1.1312	0.7984	0.6741
14	2.6477	2.0521	0.7962	0.6400
15	2.3034	1.2241	0.8203	0.6539
16	2.3997	0.6174	0.8290	0.7077
17	2.5752	1.3503	0.8410	0.7124
18	2.5528	1.2714	0.8347	0.6900
19	2.1569	1.0041	0.8319	0.6812
20	2.2485	1.5287	0.8299	0.6764
21	2.2127	1.1371	0.8454	0.6884
22	2.4822	0.6331	0.8323	0.7260
23	2.1983	1.8343	0.8208	0.6484
24	2.3208	0.7588	0.8443	0.7404
25	2.1108	1.7641	0.8491	0.7059
26	1.8372	1.5244	0.8537	0.6988
27	2.1024	1.0545	0.8693	0.7378
28	1.7261	1.4638	0.8625	0.7532
29	1.6731	1.1447	0.8529	0.7429
30	1.2693	0.7780	0.8632	0.7823
31	1.4001	1.1623	0.8617	0.7815
32	1.4687	0.8106	0.8642	0.7563
33	1.4147	0.9735	0.8508	0.7373
34	1.3023	1.2582	0.8671	0.7802
35	1.0606	1.2222	0.8720	0.7889
36	1.1486	1.1580	0.8759	0.7808
37	1.1797	0.9952	0.8804	0.7949
38	1.1014	0.8266	0.8739	0.7774
39	1.1565	1.2285	0.8733	0.7924
40	1.0720	1.2264	0.8791	0.7963
41	1.1135	1.2835	0.8777	0.8065
42	1.0360	0.7973	0.8845	0.7892
43	1.1477	1.2388	0.8817	0.7908
44	1.1481	0.8426	0.8859	0.8059
45	1.0807	1.1921	0.8872	0.8085
46	1.1242	1.2129	0.8834	0.8012
47	1.0531	0.7427	0.8895	0.7981
48	1.1158	1.1868	0.8818	0.8025
49	1.0073	1.3789	0.8880	0.8067
50	0.9130	0.9079	0.8975	0.8172
51	1.0343	0.8895	0.8873	0.8169
52	1.0527	1.0342	0.8818	0.8153
53	1.0030	0.7932	0.8952	0.8252
54	0.9269	0.7650	0.8952	0.8237
55	0.8310	0.9350	0.8840	0.8123
56	0.9630	0.7906	0.8907	0.8143
57	0.9572	0.6214	0.9070	0.8347
58	0.8435	0.7135	0.9080	0.8386
59	0.8727	0.8118	0.9024	0.8390
60	0.8339	0.7224	0.9074	0.8298
61	0.8457	1.1653	0.8929	0.8257
62	0.9333	0.6974	0.9035	0.8249
63	0.8613	0.9155	0.9025	0.8347
64	0.9619	0.7284	0.9077	0.8350
65	0.7779	0.7630	0.9069	0.8334
66	0.7099	0.8853	0.9018	0.8335
67	0.8123	1.0999	0.8904	0.8194
68	0.7937	0.8305	0.8952	0.8186
69	0.8125	0.9285	0.8996	0.8325
70	0.7134	0.8556	0.9020	0.8364
71	0.7996	0.9189	0.9007	0.8319
72	0.7427	0.7000	0.9096	0.8327
73	0.8192	0.8748	0.8996	0.8290
74	0.7589	0.8610	0.9020	0.8238
75	0.8389	0.8366	0.9032	0.8292
76	0.8526	0.8228	0.9015	0.8266
77	0.6924	0.7815	0.9038	0.8309
78	0.8406	0.8166	0.9034	0.8261
79	0.6852	0.8262	0.9038	0.8257
80	0.7794	0.8030	0.9051	0.8315
81	0.8308	0.8289	0.9042	0.8282
82	0.8648	0.7521	0.9076	0.8278
83	0.7676	0.8684	0.8998	0.8240
84	0.7973	0.9019	0.9018	0.8278
85	0.7610	0.9723	0.8998	0.8209
86	0.7739	0.7722	0.9040	0.8264
87	0.7478	1.0358	0.8991	0.8222
88	0.8359	0.7635	0.9028	0.8244
89	0.7631	0.7074	0.9055	0.8258
90	0.7144	0.7768	0.9041	0.8264
91	0.6544	0.7814	0.9036	0.8253
