+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |  10.4511   |
| epoch 2  |   7.4267   |
| epoch 3  |   5.9486   |
| epoch 4  |   5.4433   |
| epoch 5  |   4.3853   |
| epoch 6  |   3.9974   |
| epoch 7  |   3.1825   |
| epoch 8  |   3.5506   |
| epoch 9  |   3.5374   |
| epoch 10 |   2.9419   |
| epoch 11 |   2.8759   |
| epoch 12 |   2.7831   |
| epoch 13 |   2.7332   |
| epoch 14 |   2.7358   |
| epoch 15 |   2.7768   |
| epoch 16 |   2.7090   |
| epoch 17 |   2.5561   |
| epoch 18 |   2.8569   |
| epoch 19 |   2.2772   |
| epoch 20 |   2.2749   |
| epoch 21 |   2.2433   |
| epoch 22 |   2.5136   |
| epoch 23 |   1.8537   |
| epoch 24 |   1.9499   |
| epoch 25 |   2.2604   |
| epoch 26 |   1.9341   |
| epoch 27 |   1.7429   |
| epoch 28 |   1.9006   |
| epoch 29 |   2.3957   |
| epoch 30 |   2.0617   |
| epoch 31 |   1.3705   |
| epoch 32 |   1.3813   |
| epoch 33 |   1.4709   |
| epoch 34 |   1.3514   |
| epoch 35 |   1.3296   |
| epoch 36 |   1.3730   |
| epoch 37 |   1.1190   |
| epoch 38 |   1.0239   |
| epoch 39 |   1.0483   |
| epoch 40 |   1.0808   |
| epoch 41 |   0.9696   |
| epoch 42 |   1.0232   |
| epoch 43 |   0.9889   |
| epoch 44 |   0.8451   |
| epoch 45 |   0.8983   |
| epoch 46 |   0.8038   |
| epoch 47 |   0.8211   |
| epoch 48 |   0.8923   |
| epoch 49 |   0.8612   |
| epoch 50 |   0.8307   |
| epoch 51 |   0.7913   |
| epoch 52 |   0.7775   |
| epoch 53 |   0.6552   |
| epoch 54 |   0.7395   |
| epoch 55 |   0.7488   |
| epoch 56 |   0.7279   |
| epoch 57 |   0.8105   |
| epoch 58 |   0.7609   |
| epoch 59 |   0.7909   |
| epoch 60 |   0.7007   |
| epoch 61 |   0.7074   |
| epoch 62 |   0.7050   |
| epoch 63 |   0.7328   |
| epoch 64 |   0.8080   |
| epoch 65 |   0.7826   |
| epoch 66 |   0.7416   |
+----------+------------+
