训练开始时间: 2025-05-28 14:06:58
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	14.5550	1.7706	0.5038	0.3509
2	10.2628	1.6387	0.5428	0.3503
3	8.8373	1.8568	0.5580	0.3928
4	7.2168	1.5125	0.5536	0.3852
5	6.3136	3.4732	0.5883	0.3737
6	5.4008	1.3950	0.6721	0.4985
7	5.2240	1.7952	0.7248	0.5369
8	4.3966	1.9838	0.7650	0.5769
9	4.5506	1.3266	0.7444	0.5623
10	4.3278	1.3028	0.7715	0.5960
11	3.9194	2.0102	0.7404	0.6011
12	3.9114	1.5293	0.7856	0.5865
13	4.1350	1.8971	0.7677	0.5893
14	4.3561	1.2754	0.7857	0.6734
15	3.8747	1.2988	0.8056	0.6541
16	3.6588	0.9715	0.8194	0.6632
17	3.9731	0.7386	0.8192	0.6718
18	3.4672	1.4143	0.8172	0.6410
19	3.7748	1.4494	0.8148	0.6381
20	3.7472	1.2128	0.8006	0.6371
21	3.4394	0.9471	0.8259	0.6653
22	3.5631	0.6804	0.7868	0.6878
23	3.5126	1.0848	0.8215	0.6551
24	3.6602	1.5413	0.8379	0.6610
25	3.7761	1.6780	0.8309	0.6546
26	3.6364	1.5136	0.8293	0.6408
27	3.5661	1.3919	0.8369	0.6544
28	3.2537	1.2119	0.8254	0.6449
29	3.4449	1.6435	0.8307	0.6422
30	3.5573	1.6196	0.8100	0.6165
31	3.4300	1.2165	0.8261	0.6432
32	3.1938	1.4219	0.8257	0.6568
33	3.3846	1.4035	0.8324	0.6542
34	3.0427	0.8975	0.8432	0.6882
35	3.1556	1.2972	0.8459	0.6843
36	3.5401	1.3924	0.8290	0.6439
37	3.1845	1.5448	0.8498	0.6706
38	3.3584	1.6394	0.8381	0.6662
39	3.2958	1.2736	0.8439	0.6811
40	3.2205	1.5324	0.8320	0.6674
41	3.3881	1.2838	0.8342	0.6729
42	3.1145	1.3769	0.8435	0.6717
43	3.3455	1.2600	0.8567	0.6945
44	2.9542	1.2783	0.8505	0.6898
45	3.5949	1.5005	0.8156	0.6100
46	3.5086	1.6417	0.8335	0.6464
47	3.3811	1.2047	0.8393	0.6764
48	3.4391	1.6283	0.8289	0.6414
49	3.3211	1.5765	0.8310	0.6332
50	3.4391	1.4777	0.8354	0.6507
51	3.1766	1.3867	0.8323	0.6472
52	3.4357	1.4704	0.8374	0.6513
