epoch,train_loss,val_loss,val_auroc,val_auprc
1,9.646683,4.088998,0.629311,0.418300
2,6.195292,2.206495,0.548671,0.371500
3,5.011627,1.458480,0.634927,0.442700
4,4.457633,1.571882,0.684230,0.463100
5,4.379862,2.708118,0.624580,0.428300
6,3.544836,1.364024,0.732955,0.523800
7,3.064863,1.591030,0.752924,0.546800
8,2.912721,2.195012,0.703666,0.506400
9,2.855698,1.145037,0.771471,0.576300
10,3.028868,1.333554,0.786369,0.604200
11,2.540306,0.853322,0.785202,0.624500
12,2.712042,1.316381,0.797116,0.622200
13,2.265067,0.678114,0.786557,0.638400
14,2.279745,0.977145,0.797293,0.647300
15,2.300218,0.788180,0.829960,0.703000
16,2.168216,0.878053,0.815515,0.684500
17,1.953539,1.056357,0.822644,0.693700
18,2.007719,0.786590,0.828616,0.700200
19,1.802776,0.600001,0.842981,0.716300
20,2.085263,0.786231,0.833120,0.692400
21,1.849732,0.788921,0.829916,0.683000
22,1.451999,1.023127,0.835075,0.709300
23,1.598347,0.797744,0.837672,0.705100
24,1.728985,0.908126,0.835943,0.704500
25,1.770330,1.348168,0.851644,0.742500
26,1.469180,0.982836,0.841664,0.720300
27,1.569462,0.750846,0.853328,0.726300
28,1.738638,0.933701,0.845442,0.698000
29,1.480853,0.953217,0.856257,0.738600
30,1.378507,0.937050,0.867202,0.753400
31,1.496729,0.839594,0.871261,0.760600
32,1.578301,1.340033,0.846094,0.727400
33,1.301880,1.075476,0.865120,0.756700
34,1.351558,1.126304,0.849550,0.718500
35,1.514410,1.477401,0.855444,0.747700
36,1.303461,1.384411,0.861220,0.751300
37,1.079632,0.822837,0.889657,0.785300
38,1.209334,0.811978,0.884972,0.766400
39,1.340265,1.571370,0.865057,0.754900
40,1.180013,2.030431,0.841031,0.734000
41,1.242059,1.260017,0.862565,0.751300
42,1.362068,1.120331,0.862017,0.745300
43,1.486277,1.331790,0.865916,0.750900
44,1.070153,1.544060,0.861256,0.750900
45,1.190488,1.509523,0.869393,0.759700
46,1.213124,1.350062,0.867894,0.761000
47,1.054343,1.275822,0.876428,0.757400
48,1.062965,1.234816,0.879382,0.771900
49,0.896666,1.472180,0.876731,0.768700
50,1.014635,1.132221,0.883617,0.774300
51,0.930247,1.198902,0.880389,0.765600
