训练开始时间: 2025-06-02 11:32:18
模型: DrugBAN3D
总训练轮数: 120

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	9.7345	1.8676	0.5312	0.3567
2	6.2843	1.8077	0.5746	0.4130
3	4.8544	1.1765	0.6143	0.4408
4	3.9441	1.1225	0.6453	0.4512
5	3.6558	2.0856	0.6483	0.4116
6	3.3643	0.9739	0.7573	0.5872
7	3.2624	1.8136	0.7779	0.5951
8	3.2464	1.4936	0.7657	0.5881
9	2.9484	1.6513	0.7977	0.6273
10	2.7731	1.0896	0.8089	0.6457
11	3.1378	1.6639	0.8036	0.6114
12	2.8107	1.5680	0.8205	0.6556
13	3.0067	1.7174	0.8335	0.6638
14	2.5638	2.0742	0.8103	0.6411
15	2.7748	1.3424	0.8386	0.6797
16	2.9018	1.6750	0.8245	0.6710
17	3.1139	1.5818	0.8496	0.6901
18	2.9323	1.1314	0.8380	0.6863
19	2.4513	1.1395	0.8239	0.6861
20	2.4909	1.6461	0.8419	0.6825
21	2.7037	0.8810	0.8533	0.7179
22	2.4080	1.5166	0.8546	0.7032
23	2.3236	1.6489	0.8478	0.6786
24	2.6119	1.2775	0.8674	0.7131
25	2.4914	1.5163	0.8613	0.7042
26	2.2407	2.2543	0.8465	0.7006
27	2.3210	0.9293	0.8684	0.7365
28	2.3932	1.5084	0.8783	0.7338
29	2.3558	1.2814	0.8733	0.7283
30	2.8424	1.8538	0.8567	0.7057
31	2.3838	1.5637	0.8818	0.7265
32	2.2806	1.4557	0.8808	0.7404
33	2.5640	1.4106	0.8699	0.7268
34	2.7405	1.7643	0.8696	0.7073
35	2.4411	1.5684	0.8660	0.7291
36	2.4738	1.7495	0.8760	0.7232
37	2.2807	1.1293	0.8799	0.7509
38	2.1848	1.4907	0.8926	0.7546
39	2.0393	1.6529	0.8863	0.7357
40	2.3814	1.4420	0.8948	0.7646
41	2.2241	1.2238	0.9000	0.7751
42	2.0817	1.1164	0.9066	0.7998
43	1.8202	1.2053	0.9035	0.7821
44	2.0626	1.3696	0.9074	0.7785
45	2.1039	1.3715	0.9065	0.7818
46	2.1409	1.7195	0.8959	0.7438
47	2.0572	1.1024	0.9001	0.7781
48	2.3420	1.5154	0.8995	0.7637
49	2.3516	1.7608	0.8938	0.7456
50	2.3459	1.6555	0.8893	0.7495
51	2.4115	1.4409	0.9030	0.7812
52	2.4983	1.5467	0.9023	0.7706
53	2.3463	1.4419	0.9070	0.7867
54	2.3953	1.9514	0.8948	0.7417
55	2.1110	1.3663	0.8990	0.7674
56	1.9785	1.6570	0.9017	0.7664
57	2.1715	1.7633	0.9028	0.7623
58	2.0738	1.5412	0.9063	0.7759
