训练开始时间: 2025-05-25 14:35:37
模型: DrugBAN3D
总训练轮数: 50

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	5.7779	1.1445	0.5810	0.3966
2	5.2286	1.4057	0.5879	0.4225
3	4.4671	0.9002	0.6221	0.4271
4	4.2394	0.9278	0.6523	0.4763
5	3.7556	0.8677	0.6421	0.4632
6	3.4672	0.7363	0.6892	0.5070
7	3.1280	1.9137	0.6739	0.4828
8	2.6796	2.5171	0.6789	0.4800
9	2.4339	1.1489	0.7193	0.5370
10	2.3398	3.4768	0.6819	0.5136
11	2.0698	1.8785	0.7223	0.5432
12	1.7674	1.6860	0.7850	0.6249
13	1.7711	1.2439	0.7632	0.6113
14	1.5418	3.0649	0.7819	0.6061
15	1.5367	1.8801	0.7866	0.6581
16	1.4706	1.5338	0.8036	0.6683
17	1.3742	1.1300	0.8099	0.6586
18	1.2074	2.3357	0.8213	0.7016
19	1.1399	2.5812	0.8076	0.6494
20	1.0949	2.7224	0.8153	0.6653
21	0.9735	1.2412	0.8544	0.7426
22	0.9352	2.3102	0.8329	0.6959
23	0.8967	1.4142	0.8433	0.7336
24	0.9244	1.2423	0.8570	0.7541
25	0.8102	1.8805	0.8518	0.7474
26	0.8060	1.6335	0.8534	0.7444
27	0.7363	1.5895	0.8640	0.7792
28	0.7025	1.9487	0.8738	0.7894
29	0.7483	1.8610	0.8671	0.7713
30	0.7920	1.7502	0.8749	0.7895
31	0.7093	2.3274	0.8664	0.7673
32	0.6568	1.9551	0.8708	0.7751
33	0.6288	2.0271	0.8837	0.7876
34	0.7535	1.9897	0.8847	0.8001
35	0.6074	1.4617	0.8899	0.8018
36	0.6034	1.6675	0.8923	0.8148
37	0.5644	1.6857	0.8923	0.8073
38	0.5885	1.5226	0.8976	0.8196
39	0.5667	1.2653	0.8987	0.8220
40	0.5221	1.6944	0.8888	0.8092
41	0.5431	1.8840	0.8938	0.8212
42	0.5111	2.0551	0.8892	0.8166
43	0.4938	1.7373	0.8960	0.8234
44	0.5194	2.0632	0.8872	0.8194
45	0.5577	1.3315	0.8985	0.8302
46	0.4889	1.3552	0.9017	0.8320
47	0.4589	1.5792	0.9098	0.8441
48	0.4375	1.6880	0.9050	0.8409
49	0.4682	1.4152	0.9026	0.8322
50	0.4265	1.9681	0.8991	0.8300
