epoch,train_loss,val_loss,val_auroc,val_auprc
1,5.777864,1.144463,0.581004,0.396600
2,5.228583,1.405749,0.587923,0.422500
3,4.467139,0.900236,0.622052,0.427100
4,4.239394,0.927752,0.652273,0.476300
5,3.755624,0.867685,0.642100,0.463200
6,3.467229,0.736300,0.689159,0.507000
7,3.127992,1.913745,0.673879,0.482800
8,2.679615,2.517069,0.678880,0.480000
9,2.433867,1.148941,0.719290,0.537000
10,2.339838,3.476776,0.681852,0.513600
11,2.069849,1.878524,0.722345,0.543200
12,1.767394,1.685970,0.785046,0.624900
13,1.771071,1.243902,0.763233,0.611300
14,1.541828,3.064926,0.781874,0.606100
15,1.536672,1.880072,0.786561,0.658100
16,1.470581,1.533845,0.803625,0.668300
17,1.374214,1.129955,0.809929,0.658600
18,1.207381,2.335656,0.821280,0.701600
19,1.139929,2.581181,0.807613,0.649400
20,1.094935,2.722360,0.815335,0.665300
21,0.973453,1.241193,0.854416,0.742600
22,0.935165,2.310156,0.832894,0.695900
23,0.896665,1.414181,0.843312,0.733600
24,0.924355,1.242312,0.857044,0.754100
25,0.810230,1.880534,0.851811,0.747400
26,0.805970,1.633522,0.853369,0.744400
27,0.736260,1.589547,0.864030,0.779200
28,0.702497,1.948650,0.873826,0.789400
29,0.748302,1.860984,0.867055,0.771300
30,0.791965,1.750228,0.874941,0.789500
31,0.709337,2.327405,0.866414,0.767300
32,0.656791,1.955129,0.870840,0.775100
33,0.628841,2.027093,0.883679,0.787600
34,0.753520,1.989735,0.884694,0.800100
35,0.607432,1.461652,0.889873,0.801800
36,0.603428,1.667514,0.892334,0.814800
37,0.564372,1.685657,0.892288,0.807300
38,0.588506,1.522596,0.897601,0.819600
39,0.566661,1.265329,0.898741,0.822000
40,0.522106,1.694351,0.888758,0.809200
41,0.543089,1.884015,0.893761,0.821200
42,0.511103,2.055106,0.889188,0.816600
43,0.493755,1.737294,0.895970,0.823400
44,0.519386,2.063211,0.887249,0.819400
45,0.557689,1.331503,0.898473,0.830200
46,0.488909,1.355202,0.901725,0.832000
47,0.458871,1.579245,0.909772,0.844100
48,0.437545,1.688037,0.905007,0.840900
49,0.468164,1.415173,0.902634,0.832200
50,0.426503,1.968065,0.899146,0.830000
