训练开始时间: 2025-05-31 21:06:10
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	9.6263	2.4362	0.5762	0.4198
2	6.2129	2.3562	0.5810	0.4192
3	5.0186	1.3420	0.5964	0.4306
4	4.0289	2.0382	0.6390	0.4426
5	3.9991	2.1594	0.6548	0.4372
6	3.9534	0.7447	0.6923	0.5215
7	3.6810	1.7579	0.7491	0.5564
8	3.6654	1.1280	0.7811	0.6052
9	3.1475	1.2172	0.7784	0.5864
10	3.3227	1.1854	0.8039	0.6387
11	2.8992	1.0842	0.7945	0.6542
12	2.5775	0.8427	0.8036	0.6818
13	3.1422	1.1801	0.8100	0.6373
14	3.1255	0.7944	0.8083	0.6803
15	2.8554	0.7764	0.8336	0.7009
16	2.8918	1.5728	0.8324	0.6626
17	2.8756	1.1464	0.8358	0.6837
18	2.6933	1.7108	0.8257	0.6390
19	2.9261	1.5176	0.8381	0.6594
20	2.4398	0.6716	0.8337	0.6816
21	2.8462	0.6680	0.8419	0.7295
22	2.4048	0.7299	0.8470	0.7420
23	2.0810	1.3914	0.8328	0.7239
24	1.9675	1.1888	0.8437	0.7355
25	1.6893	1.3353	0.8376	0.7491
26	2.0406	1.2470	0.8358	0.7190
27	1.9008	1.0643	0.8534	0.7608
28	1.8107	0.9679	0.8594	0.7626
29	1.8802	0.8726	0.8626	0.7544
30	1.9131	1.2204	0.8559	0.7663
31	1.5101	1.0790	0.8654	0.7748
32	1.5985	1.0698	0.8702	0.7803
33	1.3086	1.3540	0.8575	0.7754
34	1.5005	1.2771	0.8656	0.7832
35	1.4394	1.2735	0.8595	0.7831
36	1.5356	1.2303	0.8625	0.7748
37	1.7416	1.2087	0.8489	0.7709
38	1.4441	1.1222	0.8709	0.7901
39	1.3391	1.3116	0.8666	0.7752
40	1.2626	1.2201	0.8781	0.7894
41	1.1324	1.3577	0.8764	0.7743
42	1.4166	1.3282	0.8680	0.7731
43	1.2145	1.2446	0.8797	0.8017
44	1.1933	1.2441	0.8773	0.7969
45	1.2737	1.2336	0.8717	0.7911
46	1.2205	1.1464	0.8864	0.8058
47	1.1735	1.1503	0.8834	0.7988
48	1.0453	1.3925	0.8720	0.7846
49	1.0285	1.2195	0.8820	0.8033
50	1.0227	1.2757	0.8717	0.7905
51	1.1045	1.4444	0.8763	0.7936
52	1.0807	1.2440	0.8834	0.7973
53	0.9248	1.1563	0.8890	0.8143
54	1.0067	1.2376	0.8904	0.8151
55	1.0487	1.2477	0.8859	0.7992
56	1.0685	1.3354	0.8903	0.8028
57	1.0168	1.3482	0.8874	0.8141
58	1.0176	1.2740	0.8914	0.8156
59	1.0200	0.9664	0.8839	0.7986
60	0.8786	1.3691	0.8851	0.8174
61	0.8425	1.2806	0.8866	0.8133
62	0.8677	0.7895	0.8919	0.8178
63	0.8292	1.3512	0.8859	0.8205
64	0.9732	1.3707	0.8815	0.7955
65	0.8815	1.1525	0.8887	0.8084
66	0.7037	1.3693	0.8892	0.8228
67	0.8159	1.3454	0.8896	0.8236
68	0.9345	1.3051	0.8884	0.8140
69	0.8728	1.4999	0.8875	0.8130
70	0.9908	1.4154	0.8874	0.8145
71	0.8544	1.3972	0.8902	0.8199
72	0.8720	1.4309	0.8890	0.8077
73	0.9138	1.4127	0.8877	0.8159
74	0.9366	1.2278	0.8897	0.8159
75	0.7649	1.2265	0.8912	0.8159
76	0.8154	1.3706	0.8877	0.8116
77	0.7538	1.1976	0.8927	0.8098
78	0.7340	0.9872	0.8928	0.8120
79	0.7223	1.2575	0.8866	0.8003
80	0.7517	1.3873	0.8841	0.8038
81	0.6616	1.4177	0.8855	0.8092
82	0.7718	0.8860	0.8923	0.8134
83	0.7985	1.3642	0.8772	0.8025
84	0.7709	1.1312	0.8817	0.8006
85	0.6949	1.2902	0.8771	0.7923
86	0.7298	1.3423	0.8806	0.8030
87	0.7695	1.1058	0.8874	0.8068
88	0.7589	1.1621	0.8854	0.8104
89	0.7472	1.2111	0.8840	0.8078
90	0.6859	1.2400	0.8833	0.8088
91	0.6838	1.4254	0.8811	0.8087
92	0.7048	1.2019	0.8845	0.8062
