+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |  10.2299   |
| epoch 2  |   7.0552   |
| epoch 3  |   5.3408   |
| epoch 4  |   4.4816   |
| epoch 5  |   4.4211   |
| epoch 6  |   3.7674   |
| epoch 7  |   3.3720   |
| epoch 8  |   3.1595   |
| epoch 9  |   3.1663   |
| epoch 10 |   3.2316   |
| epoch 11 |   3.2542   |
| epoch 12 |   3.1935   |
| epoch 13 |   2.8440   |
| epoch 14 |   2.7976   |
| epoch 15 |   2.7201   |
| epoch 16 |   2.6860   |
| epoch 17 |   2.7421   |
| epoch 18 |   2.6183   |
| epoch 19 |   2.3793   |
| epoch 20 |   2.4731   |
| epoch 21 |   2.4884   |
| epoch 22 |   2.3260   |
| epoch 23 |   2.4583   |
| epoch 24 |   2.3772   |
| epoch 25 |   2.3579   |
| epoch 26 |   2.4223   |
| epoch 27 |   2.1776   |
| epoch 28 |   2.2856   |
| epoch 29 |   2.4515   |
| epoch 30 |   2.3959   |
| epoch 31 |   2.2243   |
| epoch 32 |   2.3659   |
| epoch 33 |   2.0349   |
| epoch 34 |   1.9973   |
| epoch 35 |   1.7490   |
| epoch 36 |   2.1425   |
| epoch 37 |   1.8989   |
| epoch 38 |   2.1327   |
| epoch 39 |   2.2846   |
| epoch 40 |   1.9861   |
| epoch 41 |   1.8593   |
| epoch 42 |   2.0008   |
| epoch 43 |   1.7943   |
| epoch 44 |   1.8223   |
| epoch 45 |   1.5052   |
| epoch 46 |   1.5897   |
| epoch 47 |   1.5256   |
| epoch 48 |   1.4818   |
| epoch 49 |   1.5118   |
| epoch 50 |   1.2783   |
| epoch 51 |   1.6465   |
| epoch 52 |   1.4509   |
| epoch 53 |   1.4595   |
| epoch 54 |   1.2663   |
| epoch 55 |   1.2951   |
| epoch 56 |   1.4874   |
| epoch 57 |   1.2204   |
| epoch 58 |   1.2973   |
| epoch 59 |   1.2075   |
| epoch 60 |   1.2966   |
| epoch 61 |   1.1640   |
| epoch 62 |   1.2827   |
| epoch 63 |   1.1573   |
| epoch 64 |   1.1555   |
| epoch 65 |   1.0044   |
| epoch 66 |   1.0753   |
| epoch 67 |   1.0472   |
| epoch 68 |   1.0337   |
| epoch 69 |   0.9802   |
| epoch 70 |   0.9380   |
| epoch 71 |   0.8098   |
| epoch 72 |   0.8122   |
| epoch 73 |   0.7230   |
| epoch 74 |   0.8180   |
| epoch 75 |   0.7544   |
+----------+------------+
