训练开始时间: 2025-05-31 18:05:57
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	9.5722	2.4351	0.6092	0.4245
2	6.2304	1.5525	0.6179	0.4393
3	5.4700	1.2137	0.6549	0.4621
4	4.9440	1.0557	0.6437	0.4453
5	4.1172	1.1989	0.6910	0.4971
6	3.9415	1.5183	0.6837	0.5214
7	3.2356	2.3904	0.7502	0.5481
8	3.1932	1.5901	0.7951	0.6045
9	3.0495	0.5812	0.7787	0.6238
10	3.0042	0.9459	0.7593	0.6239
11	2.8166	1.0148	0.8197	0.6494
12	2.8615	1.1323	0.8263	0.6480
13	2.7903	1.2644	0.8275	0.6519
14	2.7477	1.3169	0.8344	0.6859
15	2.4170	0.6593	0.8416	0.7129
16	2.3795	0.8633	0.8198	0.6871
17	2.3560	1.2329	0.8323	0.6756
18	2.1974	1.5033	0.8336	0.6650
19	2.3141	0.6476	0.8265	0.7096
20	2.3143	1.6783	0.8401	0.6629
21	1.9267	0.7402	0.8447	0.7282
22	1.8618	0.6008	0.8514	0.7303
23	1.7451	0.8598	0.8302	0.7031
24	1.7710	0.6209	0.8533	0.7195
25	1.8856	0.6666	0.8425	0.7292
26	1.6107	0.6072	0.8507	0.7294
27	1.6122	0.7956	0.8633	0.7554
28	1.5530	0.7235	0.8637	0.7328
29	1.5755	0.7758	0.8550	0.7358
30	1.6646	0.7637	0.8467	0.7224
31	1.6932	0.8288	0.8652	0.7518
32	1.5123	0.6529	0.8635	0.7698
33	1.5155	0.7782	0.8620	0.7576
34	1.6336	0.8189	0.8674	0.7495
35	1.6927	0.9168	0.8596	0.7735
36	1.4977	0.7116	0.8723	0.7825
37	1.4498	0.7394	0.8594	0.7475
38	1.3411	0.6475	0.8839	0.7962
39	1.3077	0.7532	0.8757	0.7868
40	1.2620	0.9497	0.8661	0.7627
41	1.3173	1.4650	0.8400	0.7679
42	1.2211	1.1553	0.8658	0.7869
43	1.1711	0.8760	0.8782	0.7976
44	1.1936	0.6723	0.8850	0.8014
45	1.2626	0.6098	0.8829	0.7877
46	1.2751	0.7053	0.8711	0.7820
47	1.2423	0.5629	0.8878	0.7988
48	1.0445	0.7560	0.8709	0.7588
49	1.1150	0.8449	0.8761	0.7984
50	1.2338	0.8335	0.8787	0.7910
51	1.0918	0.8466	0.8731	0.7691
52	1.2873	0.8617	0.8733	0.7834
53	1.3609	1.1733	0.8665	0.7827
54	1.3809	0.7188	0.8889	0.8151
55	1.0453	0.8436	0.8834	0.8029
56	1.0289	0.7088	0.8977	0.8161
57	1.0047	0.7628	0.8875	0.8084
58	1.0114	0.9016	0.8882	0.8183
59	1.1798	0.9023	0.8793	0.8018
60	1.1423	0.8512	0.8879	0.8025
61	1.0349	0.9913	0.8713	0.7875
62	1.1182	0.9373	0.8854	0.7964
63	0.8941	1.0072	0.8841	0.8062
64	0.9596	1.0256	0.8764	0.7958
65	0.9768	0.8953	0.8834	0.7916
66	1.0521	1.1419	0.8780	0.7994
67	0.9648	0.9915	0.8828	0.7898
68	0.9481	0.9383	0.8830	0.7983
69	0.8951	1.0561	0.8792	0.7934
70	0.9002	0.9394	0.8880	0.7954
