+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   9.5722   |
| epoch 2  |   6.2304   |
| epoch 3  |   5.4700   |
| epoch 4  |   4.9440   |
| epoch 5  |   4.1172   |
| epoch 6  |   3.9415   |
| epoch 7  |   3.2356   |
| epoch 8  |   3.1932   |
| epoch 9  |   3.0495   |
| epoch 10 |   3.0042   |
| epoch 11 |   2.8166   |
| epoch 12 |   2.8615   |
| epoch 13 |   2.7903   |
| epoch 14 |   2.7477   |
| epoch 15 |   2.4170   |
| epoch 16 |   2.3795   |
| epoch 17 |   2.3560   |
| epoch 18 |   2.1974   |
| epoch 19 |   2.3141   |
| epoch 20 |   2.3143   |
| epoch 21 |   1.9267   |
| epoch 22 |   1.8618   |
| epoch 23 |   1.7451   |
| epoch 24 |   1.7710   |
| epoch 25 |   1.8856   |
| epoch 26 |   1.6107   |
| epoch 27 |   1.6122   |
| epoch 28 |   1.5530   |
| epoch 29 |   1.5755   |
| epoch 30 |   1.6646   |
| epoch 31 |   1.6932   |
| epoch 32 |   1.5123   |
| epoch 33 |   1.5155   |
| epoch 34 |   1.6336   |
| epoch 35 |   1.6927   |
| epoch 36 |   1.4977   |
| epoch 37 |   1.4498   |
| epoch 38 |   1.3411   |
| epoch 39 |   1.3077   |
| epoch 40 |   1.2620   |
| epoch 41 |   1.3173   |
| epoch 42 |   1.2211   |
| epoch 43 |   1.1711   |
| epoch 44 |   1.1936   |
| epoch 45 |   1.2626   |
| epoch 46 |   1.2751   |
| epoch 47 |   1.2423   |
| epoch 48 |   1.0445   |
| epoch 49 |   1.1150   |
| epoch 50 |   1.2338   |
| epoch 51 |   1.0918   |
| epoch 52 |   1.2873   |
| epoch 53 |   1.3609   |
| epoch 54 |   1.3809   |
| epoch 55 |   1.0453   |
| epoch 56 |   1.0289   |
| epoch 57 |   1.0047   |
| epoch 58 |   1.0114   |
| epoch 59 |   1.1798   |
| epoch 60 |   1.1423   |
| epoch 61 |   1.0349   |
| epoch 62 |   1.1182   |
| epoch 63 |   0.8941   |
| epoch 64 |   0.9596   |
| epoch 65 |   0.9768   |
| epoch 66 |   1.0521   |
| epoch 67 |   0.9648   |
| epoch 68 |   0.9481   |
| epoch 69 |   0.8951   |
| epoch 70 |   0.9002   |
| epoch 71 |   0.8356   |
+----------+------------+
