训练开始时间: 2025-05-30 20:09:25
模型: DrugBAN3D
总训练轮数: 120

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	10.5263	3.0717	0.5774	0.4309
2	6.9543	1.5799	0.5640	0.3957
3	5.3974	2.1887	0.5992	0.4240
4	4.8704	1.2337	0.6876	0.4987
5	4.1140	1.5311	0.6623	0.5128
6	3.7973	1.6036	0.7274	0.6093
7	3.5362	1.4357	0.7536	0.5991
8	3.6682	1.1009	0.7283	0.6010
9	3.1167	1.4161	0.7717	0.6067
10	3.3297	1.6643	0.7821	0.6163
11	3.1827	2.2396	0.7988	0.6194
12	2.6793	1.4201	0.8005	0.6165
13	2.7554	0.9905	0.8033	0.6904
14	2.1579	1.6466	0.8003	0.7147
15	2.2051	1.5712	0.8036	0.6976
16	2.1075	1.5165	0.8267	0.7069
17	1.8450	1.5825	0.8317	0.7211
18	1.7695	1.2252	0.8404	0.7365
19	1.9782	1.8870	0.7922	0.7073
20	2.1095	1.2680	0.8575	0.7705
21	1.6027	1.5223	0.8382	0.7193
22	1.7627	1.4694	0.8478	0.7145
23	1.7289	1.7256	0.8374	0.7349
24	1.8212	1.6945	0.8375	0.7587
25	1.9714	1.7293	0.8432	0.7416
26	1.7713	1.9916	0.8332	0.7457
27	1.6521	1.6926	0.8604	0.7654
28	1.5689	1.7994	0.8584	0.7461
29	1.4580	1.7267	0.8595	0.7644
30	1.3806	1.6858	0.8592	0.7579
31	1.3590	1.7583	0.8567	0.7464
32	1.3722	1.8917	0.8595	0.7421
33	1.2600	1.5595	0.8702	0.7658
34	1.1868	1.5542	0.8749	0.7900
35	1.2680	1.7432	0.8618	0.7683
36	1.3235	1.4718	0.8725	0.7823
37	1.1882	1.8959	0.8691	0.7913
38	1.3392	2.0622	0.8568	0.7249
39	1.1659	1.6729	0.8790	0.7951
40	1.1128	1.5999	0.8815	0.8016
41	1.2431	1.8118	0.8670	0.7667
42	1.1495	1.9871	0.8592	0.7433
43	1.1581	1.5490	0.8702	0.7792
44	1.1232	1.7574	0.8718	0.7626
45	1.1368	1.9886	0.8630	0.7473
46	0.9965	1.8090	0.8736	0.7852
47	1.1335	1.7903	0.8800	0.7917
48	1.0852	1.8677	0.8743	0.7723
49	1.1069	1.9510	0.8813	0.7882
50	1.0183	1.8186	0.8822	0.7873
51	0.9836	1.6145	0.8884	0.7836
52	1.0231	1.8962	0.8841	0.7929
53	0.8772	1.5884	0.8791	0.7925
54	0.8908	1.3347	0.8904	0.8033
55	0.9305	1.7355	0.8853	0.8014
56	0.8750	2.1272	0.8802	0.7759
57	0.9108	1.7705	0.8868	0.7801
58	0.9257	1.9646	0.8784	0.7785
59	0.9675	1.8431	0.8780	0.7790
60	0.8265	1.3821	0.8889	0.7857
61	0.8103	2.0606	0.8775	0.7742
62	0.8356	2.1481	0.8767	0.7735
63	0.9740	1.9788	0.8810	0.7741
64	0.7653	1.8084	0.8813	0.7839
65	0.7729	2.0732	0.8759	0.7749
66	0.9207	2.1442	0.8735	0.7628
67	0.8378	2.3837	0.8781	0.7705
68	0.7917	1.6217	0.8821	0.7689
69	0.7917	1.9515	0.8815	0.7854
70	0.8386	1.8730	0.8823	0.7842
71	0.8730	1.8462	0.8767	0.7672
72	0.8250	2.2088	0.8744	0.7777
73	0.9407	2.0595	0.8824	0.7839
