epoch,train_loss,val_loss,val_auroc,val_auprc
1,14.555011,1.770583,0.503781,0.350900
2,10.262787,1.638736,0.542761,0.350300
3,8.837267,1.856814,0.557979,0.392800
4,7.216767,1.512513,0.553581,0.385200
5,6.313642,3.473194,0.588338,0.373700
6,5.400842,1.394975,0.672065,0.498500
7,5.224008,1.795238,0.724815,0.536900
8,4.396632,1.983822,0.764982,0.576900
9,4.550602,1.326566,0.744411,0.562300
10,4.327803,1.302838,0.771496,0.596000
11,3.919386,2.010207,0.740362,0.601100
12,3.911439,1.529343,0.785646,0.586500
13,4.134977,1.897076,0.767671,0.589300
14,4.356060,1.275433,0.785667,0.673400
15,3.874737,1.298795,0.805596,0.654100
16,3.658848,0.971486,0.819383,0.663200
17,3.973057,0.738559,0.819177,0.671800
18,3.467227,1.414272,0.817242,0.641000
19,3.774831,1.449380,0.814822,0.638100
20,3.747232,1.212792,0.800557,0.637100
21,3.439425,0.947104,0.825908,0.665300
22,3.563128,0.680441,0.786759,0.687800
23,3.512603,1.084828,0.821478,0.655100
24,3.660194,1.541257,0.837919,0.661000
25,3.776142,1.678007,0.830894,0.654600
26,3.636368,1.513647,0.829347,0.640800
27,3.566085,1.391855,0.836911,0.654400
28,3.253665,1.211890,0.825356,0.644900
29,3.444937,1.643531,0.830688,0.642200
30,3.557265,1.619627,0.810049,0.616500
31,3.430021,1.216539,0.826081,0.643200
32,3.193814,1.421909,0.825748,0.656800
33,3.384627,1.403473,0.832363,0.654200
34,3.042733,0.897504,0.843173,0.688200
35,3.155585,1.297242,0.845933,0.684300
36,3.540066,1.392362,0.828953,0.643900
37,3.184499,1.544751,0.849839,0.670600
38,3.358374,1.639417,0.838081,0.666200
39,3.295784,1.273558,0.843868,0.681100
40,3.220511,1.532350,0.832005,0.667400
41,3.388103,1.283815,0.834182,0.672900
42,3.114522,1.376890,0.843508,0.671700
43,3.345526,1.259967,0.856665,0.694500
44,2.954177,1.278308,0.850481,0.689800
45,3.594882,1.500529,0.815609,0.610000
46,3.508623,1.641656,0.833545,0.646400
47,3.381084,1.204717,0.839331,0.676400
48,3.439133,1.628266,0.828879,0.641400
49,3.321082,1.576527,0.830970,0.633200
50,3.439078,1.477734,0.835434,0.650700
51,3.176610,1.386693,0.832329,0.647200
52,3.435674,1.470390,0.837373,0.651300
53,3.120206,1.278514,0.846334,0.677300
