训练开始时间: 2025-06-01 01:03:03
模型: DrugBAN3D
总训练轮数: 100

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	10.4511	1.3138	0.5361	0.3337
2	7.4267	1.8332	0.6068	0.4146
3	5.9486	1.9132	0.5862	0.4034
4	5.4433	1.6427	0.6584	0.4486
5	4.3853	1.6769	0.6357	0.4481
6	3.9974	0.9641	0.6929	0.4954
7	3.1825	1.8806	0.7223	0.5342
8	3.5506	1.7459	0.7265	0.5313
9	3.5374	1.7757	0.7422	0.5628
10	2.9419	1.3528	0.7945	0.6210
11	2.8759	1.8182	0.7927	0.6097
12	2.7831	1.3235	0.8041	0.6293
13	2.7332	1.7125	0.8024	0.6288
14	2.7358	1.5678	0.7996	0.6376
15	2.7768	1.5107	0.8188	0.6592
16	2.7090	1.8930	0.8197	0.6534
17	2.5561	1.8599	0.8192	0.6510
18	2.8569	0.9665	0.8269	0.6560
19	2.2772	1.0135	0.8224	0.6842
20	2.2749	1.1039	0.8288	0.6605
21	2.2433	1.3780	0.8049	0.6271
22	2.5136	1.3463	0.8334	0.6805
23	1.8537	1.1384	0.8485	0.6922
24	1.9499	1.1122	0.8457	0.6947
25	2.2604	1.1174	0.8483	0.7049
26	1.9341	1.1966	0.8486	0.7022
27	1.7429	1.3247	0.8542	0.7007
28	1.9006	1.0561	0.8560	0.7181
29	2.3957	1.4300	0.8575	0.7036
30	2.0617	0.9722	0.8434	0.7408
31	1.3705	1.2026	0.8451	0.7301
32	1.3813	1.1805	0.8611	0.7512
33	1.4709	0.9402	0.8616	0.7526
34	1.3514	1.4548	0.8527	0.7222
35	1.3296	1.3789	0.8553	0.7444
36	1.3730	1.0362	0.8574	0.7532
37	1.1190	0.9740	0.8773	0.7830
38	1.0239	0.7972	0.8682	0.7506
39	1.0483	0.7308	0.8685	0.7601
40	1.0808	0.7573	0.8736	0.7778
41	0.9696	1.2074	0.8450	0.7506
42	1.0232	0.7682	0.8607	0.7685
43	0.9889	0.6372	0.8764	0.7785
44	0.8451	0.7897	0.8865	0.8035
45	0.8983	0.9795	0.8691	0.7907
46	0.8038	0.7816	0.8793	0.7991
47	0.8211	0.7113	0.8784	0.7927
48	0.8923	0.7555	0.8819	0.7892
49	0.8612	0.7601	0.8820	0.7959
50	0.8307	0.9463	0.8781	0.7947
51	0.7913	0.7235	0.8895	0.8025
52	0.7775	0.7786	0.8805	0.8031
53	0.6552	0.8863	0.8799	0.8010
54	0.7395	0.8009	0.8844	0.7991
55	0.7488	0.7758	0.8835	0.8045
56	0.7279	0.8147	0.8754	0.7944
57	0.8105	0.8720	0.8776	0.7997
58	0.7609	0.9076	0.8785	0.7980
59	0.7909	0.9592	0.8786	0.8024
60	0.7007	0.8873	0.8804	0.8057
61	0.7074	0.9476	0.8756	0.7954
62	0.7050	0.7744	0.8838	0.8062
63	0.7328	0.8595	0.8823	0.8058
64	0.8080	0.8910	0.8805	0.8040
65	0.7826	0.9243	0.8819	0.8067
