训练开始时间: 2025-05-30 14:36:07
模型: DrugBAN3D
总训练轮数: 120

轮次	训练损失	验证损失	验证AUROC	验证AUPRC
----------------------------------------------------------------------
1	11.9600	2.0443	0.5379	0.3702
2	8.5969	2.8754	0.5624	0.3794
3	8.2164	1.9007	0.5308	0.3774
4	7.5942	2.0299	0.6090	0.4105
5	6.9206	2.0082	0.6180	0.4284
6	6.2747	2.0517	0.6130	0.4227
7	6.2005	2.0641	0.6266	0.4415
8	5.3145	2.3397	0.6337	0.4406
9	5.2755	1.2016	0.6599	0.4753
10	4.7665	1.4572	0.6931	0.4923
11	4.7894	2.2000	0.6795	0.4820
12	4.3606	3.3463	0.6625	0.4697
13	4.7368	1.2221	0.7428	0.5591
14	4.1290	2.1396	0.7524	0.5480
15	4.0723	2.2509	0.7783	0.5655
16	4.3002	2.4925	0.7761	0.5995
17	3.6173	2.3115	0.7967	0.5948
18	3.7866	2.0142	0.8097	0.6272
19	3.3246	1.8176	0.7954	0.6276
20	3.3645	1.3764	0.8264	0.6655
21	3.7136	1.6956	0.8320	0.6617
22	3.6872	2.0447	0.8213	0.6371
23	3.3706	1.7307	0.8176	0.6590
24	3.6395	1.5628	0.8282	0.6535
25	3.3075	1.5690	0.8349	0.6808
26	3.1243	1.3984	0.8247	0.6974
27	3.4038	2.1457	0.8297	0.6642
28	3.0405	1.8064	0.8340	0.6723
29	2.8239	1.4150	0.8495	0.6974
30	3.1990	1.7727	0.8418	0.6752
31	2.9854	1.5021	0.8485	0.6942
32	2.7394	1.6604	0.8501	0.6914
33	2.9935	1.4886	0.8489	0.7032
34	3.4833	1.4622	0.8475	0.7005
35	3.2459	2.0336	0.8570	0.7100
36	3.0281	2.0042	0.8569	0.6861
37	3.6621	1.8411	0.8511	0.6996
38	3.4248	2.0338	0.8477	0.6935
39	3.0962	1.5940	0.8600	0.7243
40	3.1117	2.1018	0.8374	0.6716
41	3.0885	2.0606	0.8527	0.6904
42	2.6736	1.8337	0.8512	0.6974
43	2.5279	1.6243	0.8587	0.7021
44	2.9177	2.0989	0.8512	0.6988
45	2.9320	2.0184	0.8431	0.6879
46	2.8306	1.9288	0.8626	0.6957
47	2.9495	2.0103	0.8596	0.7067
48	2.9385	2.0886	0.8628	0.7010
49	2.9902	1.4748	0.8731	0.7431
50	2.7977	2.3823	0.8588	0.7004
51	2.9266	1.7373	0.8733	0.7289
52	2.7954	2.3511	0.8441	0.6930
53	2.6605	2.4837	0.8701	0.7048
54	2.6639	1.6528	0.8715	0.7338
55	2.7383	1.4605	0.8755	0.7392
56	2.6943	1.6501	0.8752	0.7333
57	2.7151	2.0742	0.8664	0.7044
58	2.6066	1.7460	0.8830	0.7391
59	2.5612	1.6235	0.8778	0.7405
60	2.7059	2.0864	0.8777	0.7245
61	2.4123	2.1335	0.8598	0.7099
62	2.3939	1.8794	0.8723	0.7243
63	2.5133	2.0797	0.8715	0.7189
64	2.2679	2.2097	0.8642	0.7167
65	2.6063	2.0050	0.8626	0.6998
66	2.5022	1.8620	0.8801	0.7428
67	2.0470	1.4775	0.8797	0.7459
68	2.1686	1.7355	0.8758	0.7375
69	2.2134	1.5855	0.8758	0.7379
70	2.1763	1.6551	0.8837	0.7402
71	2.2932	2.3783	0.8683	0.6924
72	2.5177	1.2390	0.8947	0.7817
73	2.0486	1.5794	0.8856	0.7667
74	1.9353	1.8132	0.8854	0.7361
75	2.2407	1.8287	0.8862	0.7453
76	2.0853	1.3443	0.8955	0.7828
77	2.4064	1.8014	0.8713	0.7329
78	2.4538	1.4503	0.8934	0.7814
79	2.1024	1.3963	0.8919	0.7746
80	2.1596	1.5319	0.8830	0.7553
81	1.9916	1.5482	0.8892	0.7668
82	1.6555	1.4670	0.8746	0.7652
83	1.8345	1.5352	0.8862	0.7811
84	1.9754	1.5634	0.8751	0.7632
85	1.9149	1.5033	0.8940	0.7864
86	1.9500	1.6935	0.8791	0.7795
87	1.6918	1.3932	0.8924	0.7792
88	1.5241	1.6404	0.8829	0.7663
89	1.6509	2.1067	0.8801	0.7564
90	1.6258	2.9826	0.8470	0.7334
91	1.6177	2.1775	0.8690	0.7442
92	1.7562	2.8424	0.8495	0.7563
93	1.6751	1.2142	0.8899	0.7967
94	1.7842	1.7101	0.8795	0.7628
95	1.7632	1.7727	0.8817	0.7587
96	1.5571	1.9295	0.8782	0.7590
97	1.7023	1.8675	0.8825	0.7818
98	1.5806	2.0149	0.8785	0.7649
99	1.8035	1.8114	0.8684	0.7498
100	1.5241	0.7260	0.8961	0.8269
101	1.4329	1.2450	0.8926	0.8199
102	1.3099	1.6602	0.8736	0.8066
103	1.4784	1.8050	0.8685	0.7799
104	1.4757	2.0913	0.8605	0.7898
105	1.6168	2.4493	0.8391	0.7395
106	1.4563	2.6693	0.8284	0.7565
107	1.3402	1.8458	0.8456	0.7785
108	1.5180	1.7763	0.8639	0.7680
109	1.3973	1.1437	0.8852	0.8182
110	1.3795	1.2310	0.8982	0.8206
111	1.3990	1.7941	0.8761	0.8147
112	1.2139	1.0126	0.8971	0.8316
113	1.2653	1.6448	0.8627	0.7760
114	1.4859	2.2625	0.7891	0.7202
115	1.3595	1.6871	0.8747	0.8059
116	1.2699	1.9216	0.8613	0.7651
117	1.3873	2.4228	0.8353	0.7690
118	1.1871	1.7984	0.8681	0.7867
119	1.2244	1.6296	0.8708	0.7782
120	1.1356	2.1092	0.8658	0.8052
