+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |  10.3167   |
| epoch 2  |   6.3373   |
| epoch 3  |   4.7911   |
| epoch 4  |   4.7831   |
| epoch 5  |   4.6667   |
| epoch 6  |   4.1107   |
| epoch 7  |   3.8319   |
| epoch 8  |   3.4836   |
| epoch 9  |   3.8228   |
| epoch 10 |   3.1800   |
| epoch 11 |   3.5468   |
| epoch 12 |   3.1166   |
| epoch 13 |   3.8071   |
| epoch 14 |   3.1354   |
| epoch 15 |   3.2554   |
| epoch 16 |   3.0388   |
| epoch 17 |   2.7957   |
| epoch 18 |   2.8796   |
| epoch 19 |   2.8481   |
| epoch 20 |   2.4100   |
| epoch 21 |   2.7388   |
| epoch 22 |   2.6359   |
| epoch 23 |   2.7157   |
| epoch 24 |   3.2994   |
| epoch 25 |   2.7752   |
| epoch 26 |   2.6722   |
| epoch 27 |   2.6160   |
| epoch 28 |   2.8005   |
| epoch 29 |   2.5370   |
| epoch 30 |   2.7739   |
| epoch 31 |   2.7737   |
| epoch 32 |   2.7350   |
| epoch 33 |   2.4754   |
| epoch 34 |   2.6408   |
| epoch 35 |   2.5004   |
| epoch 36 |   2.3026   |
| epoch 37 |   2.1714   |
| epoch 38 |   2.3131   |
| epoch 39 |   2.5780   |
| epoch 40 |   2.4467   |
| epoch 41 |   2.6230   |
| epoch 42 |   2.3286   |
| epoch 43 |   1.9066   |
| epoch 44 |   2.1490   |
| epoch 45 |   2.2016   |
| epoch 46 |   2.0539   |
| epoch 47 |   2.2630   |
| epoch 48 |   1.9366   |
| epoch 49 |   2.0940   |
| epoch 50 |   2.1312   |
| epoch 51 |   2.4943   |
| epoch 52 |   2.2784   |
| epoch 53 |   2.4239   |
| epoch 54 |   1.9904   |
| epoch 55 |   2.1091   |
| epoch 56 |   2.0834   |
| epoch 57 |   2.1174   |
| epoch 58 |   2.0951   |
| epoch 59 |   2.3204   |
| epoch 60 |   2.0928   |
| epoch 61 |   1.9829   |
| epoch 62 |   1.8995   |
| epoch 63 |   1.9915   |
| epoch 64 |   1.9697   |
| epoch 65 |   2.0496   |
| epoch 66 |   2.0504   |
| epoch 67 |   2.1815   |
| epoch 68 |   2.3357   |
+----------+------------+
