epoch	train_loss	val_loss	auroc	auprc
1	2.2249	0.9016	0.6145	0.4071
2	1.5959	1.0185	0.7210	0.5125
3	1.3213	1.4709	0.6930	0.5102
4	1.2770	0.7852	0.7117	0.5233
5	1.2376	0.8343	0.7537	0.5598
6	1.0646	0.6580	0.7374	0.5365
7	1.0784	0.8247	0.7635	0.5812
8	1.0089	0.8346	0.7565	0.6076
9	0.8933	0.9334	0.7620	0.6087
10	0.8813	1.0083	0.7807	0.5982
11	0.7970	0.7633	0.7809	0.5991
12	0.6873	0.9853	0.8080	0.6506
13	0.6253	0.8495	0.8138	0.6560
14	0.5404	0.8921	0.8032	0.6380
15	0.5065	0.6490	0.8218	0.6705
16	0.4846	0.6836	0.8496	0.7183
17	0.4675	0.6380	0.8477	0.6972
18	0.4628	0.7819	0.8302	0.6643
19	0.4547	0.6993	0.8562	0.7350
20	0.4337	0.6809	0.8442	0.7294
21	0.4221	0.7038	0.8585	0.7290
22	0.4355	0.7784	0.8406	0.6838
23	0.4283	0.7794	0.8523	0.7212
24	0.4095	0.6981	0.8441	0.7107
25	0.4308	0.7451	0.8695	0.7411
26	0.4303	0.6515	0.8697	0.7582
27	0.3961	0.9252	0.8599	0.7513
28	0.4280	0.6572	0.8635	0.7651
29	0.4176	0.8354	0.8597	0.7473
30	0.4102	0.7850	0.8630	0.7294
31	0.3670	0.7709	0.8845	0.7870
32	0.3619	0.8589	0.8653	0.7520
33	0.3599	0.7706	0.8658	0.7545
34	0.3586	0.8028	0.8657	0.7506
35	0.3746	0.7741	0.8736	0.7796
36	0.3813	0.6234	0.8856	0.7969
37	0.3826	0.6837	0.8717	0.7732
38	0.3690	0.7564	0.8820	0.7840
39	0.3785	0.7094	0.8766	0.7660
40	0.3544	0.7144	0.8821	0.7783
41	0.3565	0.8199	0.8820	0.7825
42	0.3400	0.7407	0.8901	0.7972
43	0.3231	0.8359	0.8764	0.7979
44	0.3373	0.8952	0.8857	0.7909
45	0.3204	0.8922	0.8930	0.7946
46	0.3106	0.9210	0.8874	0.7769
47	0.3288	0.9047	0.8877	0.7919
48	0.3320	0.8584	0.8781	0.7821
49	0.3229	0.8471	0.8860	0.7972
50	0.3305	0.8942	0.8827	0.7785
51	0.2952	0.9661	0.8925	0.7991
52	0.2996	1.0588	0.8932	0.7981
53	0.2922	0.8195	0.8969	0.8037
54	0.2894	1.1481	0.8942	0.7964
55	0.2895	1.2079	0.8913	0.7940
56	0.2898	1.0861	0.8980	0.8067
57	0.2716	0.9446	0.8991	0.8077
58	0.2799	0.9569	0.8987	0.8062
59	0.2736	0.9380	0.9009	0.8111
60	0.2785	1.1711	0.8924	0.7927
61	0.2780	1.1535	0.8877	0.7922
62	0.2936	1.0282	0.8954	0.8030
63	0.2888	0.9316	0.8924	0.8065
64	0.2916	1.1446	0.8856	0.7776
65	0.2770	1.1266	0.8933	0.7978
66	0.2711	1.2510	0.8976	0.8021
67	0.2644	1.0666	0.8944	0.7926
68	0.2690	0.9906	0.8947	0.8019
69	0.2636	1.0234	0.8994	0.8063
70	0.2470	1.0010	0.8981	0.8105
71	0.2500	1.0639	0.8988	0.8081
72	0.2442	1.1148	0.8999	0.8118
73	0.2500	1.0941	0.8995	0.8091
