+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   9.2730   |
| epoch 2  |   5.4520   |
| epoch 3  |   5.3820   |
| epoch 4  |   4.5938   |
| epoch 5  |   3.9867   |
| epoch 6  |   3.8377   |
| epoch 7  |   3.4485   |
| epoch 8  |   3.4285   |
| epoch 9  |   3.6805   |
| epoch 10 |   2.9686   |
| epoch 11 |   3.2613   |
| epoch 12 |   2.8260   |
| epoch 13 |   2.9994   |
| epoch 14 |   2.6726   |
| epoch 15 |   2.5789   |
| epoch 16 |   2.5475   |
| epoch 17 |   2.2837   |
| epoch 18 |   2.4510   |
| epoch 19 |   2.2319   |
| epoch 20 |   2.0099   |
| epoch 21 |   1.9434   |
| epoch 22 |   1.8830   |
| epoch 23 |   1.9126   |
| epoch 24 |   1.8187   |
| epoch 25 |   1.5348   |
| epoch 26 |   1.7087   |
| epoch 27 |   1.4977   |
| epoch 28 |   1.4940   |
| epoch 29 |   1.4257   |
| epoch 30 |   1.3452   |
| epoch 31 |   1.3529   |
| epoch 32 |   1.5212   |
| epoch 33 |   1.3039   |
| epoch 34 |   1.4764   |
| epoch 35 |   1.5770   |
| epoch 36 |   1.3799   |
| epoch 37 |   1.4226   |
| epoch 38 |   1.4210   |
| epoch 39 |   1.3567   |
| epoch 40 |   1.1873   |
| epoch 41 |   1.1938   |
| epoch 42 |   0.9588   |
| epoch 43 |   0.9378   |
| epoch 44 |   0.9955   |
| epoch 45 |   1.0822   |
| epoch 46 |   0.9576   |
| epoch 47 |   1.1069   |
| epoch 48 |   1.1114   |
| epoch 49 |   1.1366   |
| epoch 50 |   1.0513   |
| epoch 51 |   1.1140   |
| epoch 52 |   1.1704   |
| epoch 53 |   1.0700   |
| epoch 54 |   1.0182   |
| epoch 55 |   1.0885   |
| epoch 56 |   0.9148   |
| epoch 57 |   0.9798   |
| epoch 58 |   0.8738   |
| epoch 59 |   1.0644   |
| epoch 60 |   1.0024   |
| epoch 61 |   0.8078   |
| epoch 62 |   0.8453   |
| epoch 63 |   0.7978   |
| epoch 64 |   0.9550   |
| epoch 65 |   0.7967   |
| epoch 66 |   0.8011   |
| epoch 67 |   0.7050   |
| epoch 68 |   0.7186   |
| epoch 69 |   0.7524   |
| epoch 70 |   0.6883   |
| epoch 71 |   0.7045   |
+----------+------------+
